start	end	text
0	7560	system, whereby you log in once per work session, a day, for example, at work, as in a typical
7560	16420	office, and you don't have to supply your password again. Okay, everything else happens
16420	25880	under the covers. Okay, transparent to the human user. All right, so Kerberos does this
25880	32240	by introducing a trusted third party, TDB, which we call Kerberos, collectively a
32240	36080	kid distribution center. Trusted third party is a generic name, but in Kerberos, the
36080	40280	terminology is KDC, and inside KDC, there are two components. There is a
40280	47900	authentication server and a ticket-granting service. Now, what I did not mention last
47900	53660	time, and maybe I did, but I don't recall, is that the authentication service knows
53660	59540	all users. Users clients all the humans, right, all the accounts, essentially, right,
59540	65000	but it does not need to know, it does, but it does not need to know all the servers.
65000	71000	The Ticket-granting service needs to know all the servers, and is less concerned
71000	76420	about users, although it has access to the same user digits.
76420	83260	All right, so this was the overview. User approves identity, requests a ticket, receives
83260	89440	ticket, goes to access service. But that's a problem, right, because what we know is
89440	94600	that it's not enough to just get a ticket for a service, right. You may not need the
94600	98320	service right away. You may have to go to the particular service, like printing
98320	103240	service, file service, many times a day. So that's why Kerberos separates these two
103240	108120	tasks of, like, initial authentication that deals only with signal sign-on of the
108120	114080	user when the user provides a password, etc., etc., and what follows later, which is
114080	119520	user tries to access various services. Okay, let's go for that. We already did.
119520	129360	Blah, blah, blah. Okay, I think, do we stop here? No? Roughly? Right, so you see here in
129360	135240	the cloud. That key distribution center houses both functions. You can think of them in two
135240	142540	processes running on the same highly secure computer. Okay? User logs in first, gets an
142540	149240	encrypted TGS ticket. The TGS ticket actually is for the TGS server that it will use later.
149240	154360	By the time it decrypts it, it has to decrypt it using knowledge of its password or password-derived
154360	160740	key. You will go to the TGS and ask, I want to access a particular service. If the TGS
160740	165440	decides to grant it, you will reply to the encrypted service ticket. The service ticket
165440	171240	will then be decrypted, partially decrypted by the client, the encrypted portion that I'll
171240	177640	explain later will be sent to the server, and then there's a brief authentication exchange
177640	186020	between the client and the server. So there's really three phases in the Kerber's sort of
186020	189020	protocol hierarchy.
193020	199020	Okay, okay. So here, here I think actually what we almost got to get about that. I want you
199020	206640	to understand this terminology. The client and the user are almost the same thing but not quite.
206640	216020	The user is the human. The user knows the password. Okay? The user uses their laptop, smartphone,
216020	224520	workstation, desktop, whatever, their device, where they log in and supply the password. That
224520	234760	device, okay, let's call it device, user device, has Kerber's client-side software. Once the user
234760	240900	provides the password, that client-side software is client from here on. User does not perform
240900	246140	decryption, encryption in their head, right? Software does it for them. So that's why I use
246140	256280	the word client to denote that user-side software, which is part of the purpose. Okay, so KC is
256280	263720	the client's key, right? Client's key, but it's not the same thing as the user password. It's a key
263720	266660	derived from a password. Okay?
266660	278040	Known only to the client, to that client, and the key distribution center. Okay? Now, KTGS is a key of the TGS
278040	283920	for the ticket-granting service. It is known only to the TGS, so you can think of it, it shares it with nobody
283920	309300	but itself. And if you think, well, why are we using it like that? Because the reason is very simple. The TGS does not need to maintain or does not want to maintain a giant database of all outstanding tickets. Okay? That's a headache. The same way, the same way that on the web today, you have cookies.
309300	338620	Why do you have cookies? Because the web server does not want to have the headache of maintaining state information about everybody who accesses that web server. So we have cookies. So when you come back to the web server, it can recognize you, spying you, etc. But also it has beneficial side effects. Okay? So it's for the same reason that the TGS is used. Alternative would have been for the
338620	348620	the TGS for the TGS, sorry, the DGS ticket, the DGS is used. The alternative would be for the KDC to store all tickets locally. But then we have the headache of managing it.
350940	364460	Okay, so, so therefore, it uses a key that it only shares with itself to essentially encrypt for itself the fact that you have a ticket as a user. And when you come back, you better bring that ticket.
364460	371460	You don't have a ticket. You don't have a ticket. You don't have a ticket? Your problem. Not server setting. Or not, sorry, not TGS setting.
371460	391460	KV, the one I think, is a long-term strong key of each server. Printer server, file server, mail server, etc. Okay? Every server has a name V, has a KV, long-term, not converted to anything. It is a key. A real key. Okay?
391460	412460	Okay? Down to the server and the TGS. Okay. Next, KC TGS. That is a short-term session key that a client, C, okay, will share with the TGS when the ticket is issued.
412460	421880	When the client first logs in, provides the password, does the authentication exchange. At the end of that exchange, the client will learn this key.
424460	434300	Okay? It's issued by the AS, but it is for the client to share with the TGS because the client does not talk to the AS anymore after logging.
434300	446300	Okay? Puzzled? Horrified? Excited? What? Okay? Everything understood.
446300	465300	All right. Well, there is a shorter-term key. Okay? This is specific to a server. When a client already logged in and has this, wants to access a particular server, it goes to the TGS with its ticket-granting ticket and says,
465300	479300	I am so-and-so, I want to access that server, please facilitate this. The TGS will reply with a service ticket, and that service ticket will have two parts, but in those two parts, there are some redundancies,
479300	493300	redundancies, and this KCV is the key that is conveyed directly or indirectly to both the client and the server. So when a client is talking to the printer, or the printer driver,
493300	505300	the rubberized printer driver on the printer, it will use this key. Okay? That's the hierarchy of key. Almost. There's a little more at the end.
505300	521300	So, this KNIT program, client, that's the client-side software. It's not the only piece of software in the client, but KNIT is the one that handles this exchange. So there is a user entering a password.
521300	533300	The password by the client-side software. The password by the client-side software is converted into the KC. But the message, when the user types in, in fact, username,
533300	545300	Alice. The KNIT does not even have to wait for her to type in the password in order to already send to the key distribution center a message that says,
545300	558300	hey, I'm Alice, I want to log in. And the reason is because that initial message is not authenticated. Right? It has the idea of the client,
558300	574300	idea of the DGS, and it seems redundant, but you'll see what it's for, and the time. The current time on the client-side. The time has to be reasonably well synchronized.
574300	589300	Kerberos, by default, I think, allows five-minute clocks, too. But it can be modified for installation. So the time tells this KDC, right?
589300	600300	Well, the AS inside the KDC, that this is recent, right? And not a replay, not stale. Okay, so then it issues, then it says, okay, do I,
600300	609300	the first thing it does, do I know this client? Is this client in my database? If not, no reply or error message. Okay?
609300	617300	If the client is in a database, the client may be not allowed to log in. In fact, Kerberos has a policy database that I will not show you,
617300	626300	because it's super boring, but it's necessary. It has a policy database that says, for each existing client, what is the policy for that client to log in?
626300	636300	A night watchman does not log in in the middle of the day. Okay? A cashier does not log in at 2 AM. These kinds of requirements, policies.
636300	648300	Who can log in when? A remote employee who works from home Thursday and Friday should not be logging in on Thursday and Friday. For example. Okay?
648300	659300	Don't quote them, just randomly generated policies. So, then, when it finds the employer, or defines the user, the client, and it finds that the user is allowed to log in,
659300	671300	it will issue this TGS ticket, or TGT, Ticket Granting Ticket. It's called Ticket Granting Ticket because it's not really a ticket in and of itself, it's a ticket to other tickets.
671300	691300	All right. So, client obviously cannot forge that ticket. You'll see why. Client can, of course, if the client is a real user and knows the passwords and can compute KC,
691300	706300	he can forge part of that ticket. But what he cannot do is forge something for the TGT. Sorry, for the TGS. Because he doesn't know the key of the TGS.
706300	719300	What you see here in green is an encryption. It's essentially a two-layer encryption, but the outer layer is encrypted under the KC, the client's password-derived key.
719300	732300	And inside, there is a blue KC TGS, right? This is the session key for this entire session, for the, until the client logs out, or the TGT expires, whichever comes first.
732300	743300	Because you see there is also ID TGS, it better match what the client says. So when the client decrypts this, first of all, if the client cannot decrypt this, like he gets garbage, that means two things.
743300	755300	Either the client is lying, meaning the user is not the right user, or the user mistyped the password, it happens, or somebody modified this green blob on the way between the KPC and the user.
755300	764300	Totally possible. Could be innocuous, like a router is buggy, or could be malicious.
764300	780300	Okay, so failure to decrypt can be any of those things. If the decryption succeeds, the client will make sure that ID TGS he sent in the blue is the same one that comes back in the green.
780300	787300	It will also make sure that time KPC is reasonably near the time C that he sent earlier.
787300	803300	And the reason is because time C is in fact acting as a challenge. Yeah? You see that? Time kicks up. So it's kind of acting as a challenge.
803300	804300	Lifetime.
804300	813300	Lifetime. Clearly, that's the ticket lifetime for that, for that, for that ticket granting ticket. After that lifetime, you have to re-login.
813300	825300	And then the last, but definitely in all this, that's a big part, that red part is ticket TGS. That is encrypted using TGS's key.
825300	836300	Client cannot read it. It just treats it as a block. But if the client decrypts, and everybody, by the way, trusts the KPC.
836300	844300	KPC is called a trusted third party for a reason. You have no choice but to trust it. It's your big brother.
844300	854300	If the client succeeds in decrypting the green part, right, the outer encryption, it knows the structure of the red part. It just cannot read it.
854300	864300	But it knows its structure. It knows what should be inside. And inside, among other things, should be an exact copy of that blue KC TGS.
864300	874300	And better be the same lifetime, too. Otherwise, the curve of simplification isn't correct.
874300	878300	Right?
878300	884300	That key is freshly generated, randomly generated by the AS.
884300	893300	Right? And so what's inside? Roughly here, this is not an exact format. What is inside is that same blue P, as I said, the ID of the client, for good reason.
893300	903300	Address of the client. Actually, it could be like a, depending on the version of the purpose, it's either an address, IP address, or a list of IP addresses.
903300	912300	Okay? Or it could be like blank or like asterisk, which means any IP address. Not advised.
912300	913300	ID TGS.
913300	914300	ID TGS.
914300	915300	ID TGS.
915300	918300	Well, that's what TGS is going to allow, okay. It's neat.
918300	919300	Time.
919300	922300	KDC's time, which is the same as the time in the green.
922300	926300	And lifetime, which is, again, the same as in the green.
926300	933300	So there's a lot of duplicate information, and it has to agree, because that's what KDC always does.
933300	940300	It makes sure that whatever is inside the red part is faithfully replicated inside the green part, okay?
940300	945300	In fact, there's nothing really secret there. You see, the client can know what's inside.
945300	961300	But he just cannot decrypt. So, client decrypts with, like I said, green part, the planes keeps TGS, gets the six tracks, the ticket TGS, bam.
961300	970300	Now, it goes to the TGS, okay, with this TGT on, this ticket from before.
970300	973300	But it only goes there if it needs to.
973300	982300	If the client came to work, a user came to work, used the workstation to log in, and wants to, like I said before, take a break, no problem.
982300	987300	He just wants to run something locally that requires no server access, no problem.
987300	993300	Kerberis is not involved. The moment the client wants to use some server that is Kerberized, right?
993300	998300	It's protected by Kerberis, like print something, alright?
998300	1004300	Or use some CAD package, or access a database, or whatever.
1004300	1009300	So what it does is it sends the following thing.
1009300	1018300	It encrypts, under the case TGS, which he just extracted, or earlier, not just, earlier extracted from the previous packet,
1018300	1028300	to encrypt its identity, right, its address, where it's coming from, and the current time.
1028300	1031300	And that becomes authentication token.
1031300	1032300	Okay?
1032300	1034300	Off C.
1034300	1037300	In addition to that, it adds the ID of the service.
1037300	1040300	It wants server, he wants to access ITV.
1040300	1045300	And that red ticket TGS from before, which he cannot read.
1045300	1049300	But we remember what's inside there, right?
1049300	1054300	So he sends it to the TGS, and the TGS does what?
1054300	1063300	It looks at ID and says, huh, well, actually, I'm missing something.
1063300	1066300	There's, you'll see it when I give you a full format.
1066300	1069300	There's, also, identity of the client is sent in that message.
1069300	1070300	It's kind of implied.
1070300	1079300	So the, the ticket granting service says, okay, client Alice wants to access server printering.
1079300	1082300	So it's, is that allowed?
1082300	1085300	So now there's a policy database, right?
1085300	1090300	There's, like, a user, remember I said there's, like, a user database that lists users and when they can log in
1090300	1094300	and all kinds of policy about when can they, can they get onto the system.
1094300	1099300	And then there's a separate policy database that says, which is essentially an access control,
1099300	1109300	a representation that says, does this user have the right to access this resource, this server, at this time?
1109300	1110300	Okay?
1110300	1113300	That is called access control.
1113300	1115300	Okay?
1115300	1119300	So, if that fails, the TGS doesn't bother.
1119300	1121300	It just returns an error.
1121300	1123300	Access denied.
1123300	1126300	Maybe it was, I forget, maybe it was some code.
1126300	1138300	The next thing it does, it authenticates, well, sorry, the next thing it does, it decrypts that red ticket.
1138300	1143300	And because the red ticket is encrypted under its own key, it can't decrypt it.
1143300	1150300	If it cannot, then, again, either the client is supplying something wrong, or somebody in transit modified it.
1150300	1151300	Right?
1151300	1154300	You have to always consider the possibility.
1154300	1163300	But if it manages to decrypt that red or orange part, then inside it, you will find what we already saw.
1163300	1168300	Inside it, you will find this.
1168300	1171300	This, this, this, this, this.
1171300	1172300	Okay?
1172300	1177300	So, among other things, you see the first, the blue part is the KCTGS.
1177300	1178300	He will extract it.
1178300	1179300	Right?
1179300	1185300	He will extract it, and then he will verify off C.
1185300	1190300	Off C is computed with KCTGS.
1190300	1191300	That's the key she would extract.
1191300	1197300	If the off C does not verify, again, two things are possible.
1197300	1205300	Either the ticket has been hijacked, and somebody is, or the client did something wrong, or somebody modified it in transit.
1205300	1215300	For the message to be fully processed, the TGS has to be able to decrypt the ticket TGS and verify successfully off C.
1215300	1220300	And, of course, the policy part, but can this client access this service?
1220300	1230300	If all that succeeds, the TGS replies, okay, with, again, double encryption.
1230300	1235300	That's a standard format inside, inside Kerberos, double encryption.
1235300	1240300	Today, it doesn't do that, but this is canonical Kerberos.
1240300	1246300	KCTGS encryption, which the client knows, or should know, right?
1246300	1251300	KCV is the new key, randomly, freshly generated.
1251300	1255300	That will be the key for the client to talk to that print server.
1255300	1258300	Not yet, right, but to be.
1258300	1261300	IDV, meaning the server ID.
1261300	1265300	Time on the TGS side, and the ticket V.
1265300	1271300	The ticket V, in whatever color that is, beige, is not, again, not decryptable by the client.
1271300	1274300	But the client pretty much knows what's inside.
1274300	1278300	You see, similar to what we saw on the previous slide.
1278300	1286300	It's an encryption on the server V's key, long term, strong key.
1286300	1294300	On the same KCV, ID of the client, address of the client, ID of the server, just for sanity.
1294300	1297300	Time on the TGS side, and the lifetime of the ticket.
1297300	1303300	This is how long can this user, Alice, use this particular printer,
1303300	1308300	without having to go back to the TGS and get another ticket.
1308300	1313300	This lifetime cannot be longer than the TGS ticket lifetime.
1313300	1315300	Make sense?
1315300	1318300	Otherwise, it would be really stupid.
1318300	1319300	Right?
1319300	1329300	You don't want to give somebody a right to say print past the time they should be logged back.
1329300	1334300	Or, for example, access an employee database.
1334300	1335300	Okay.
1335300	1339300	So, the client does the same thing to do with TGS before.
1339300	1350300	It will, because it knows KC TGS, it will decrypt that outer part, obtain KCV, obtain IDV.
1350300	1353300	It will compare IDV to the one it sent in the first message.
1353300	1354300	They better match.
1354300	1357300	If they don't match, there's something wrong.
1357300	1363300	It will check the time TGS to make sure it's a recent time.
1363300	1370300	And, you cannot verify TKD, but it just caches it.
1370300	1371300	Okay?
1371300	1374300	Caches it because we need it again.
1374300	1376300	Okay?
1376300	1379300	Everybody gets it?
1379300	1383300	And now it's time to go obtain CERNs.
1383300	1384300	Okay.
1384300	1386300	So, you want to actually print.
1386300	1387300	Okay.
1387300	1389300	So, now you have the client.
1389300	1392300	Actually, what I said, the user just says, I want to print.
1392300	1397300	But all of this other stuff, like going on the previous slide and this slide, that happens under coverage.
1397300	1399300	The user, human, is not involved.
1399300	1400300	Right?
1400300	1402300	Unless there is an error, right?
1402300	1404300	Like access denied or some sort.
1404300	1407300	User is not bothered with anything.
1407300	1409300	It all happens quickly.
1409300	1417300	So, the user, client, excuse me, goes to the server directly now, finally, and says,
1417300	1420300	Yo, I have a ticket for you.
1420300	1421300	Okay?
1421300	1423300	Here is the ticket.
1423300	1425300	That pink thing.
1425300	1427300	Came from the previous slide.
1427300	1428300	Right?
1428300	1429300	Here is an authenticator.
1429300	1430300	And here is an authenticator.
1430300	1435300	To prove that I know the same key that is included in the ticket.
1435300	1436300	Why?
1436300	1441300	Well, because if I don't know the key, then it's not my ticket.
1441300	1443300	Or I'm not me.
1443300	1447300	So, the server receives that ticket.
1447300	1453300	The server, first, decrypts that ticket using KD.
1453300	1454300	Right?
1454300	1456300	Decrypts the ticket.
1456300	1460300	And inside finds what we already saw.
1460300	1462300	That pink thing.
1462300	1467300	And it finds KCD, IDC.
1467300	1468300	Right?
1468300	1473300	It will make sure that the ID of the client is the same one that the message of the next
1473300	1474300	slide comes from.
1474300	1475300	The address.
1475300	1476300	The IP address should be the same.
1476300	1477300	Although those are fungible.
1477300	1478300	We all know this.
1478300	1481300	It will send it to check its own ID.
1481300	1484300	Does my ID match what is inside the pink thing?
1484300	1487300	The time TGS has to be recent.
1487300	1488300	Right?
1488300	1491300	But the important thing is the lifetime.
1491300	1493300	Okay.
1493300	1494300	Okay.
1494300	1500300	Now, the interesting thing is time TGS has to be, does not have to be synchronized here.
1500300	1505300	Does anybody see why that is?
1505300	1510300	All the previous times, when you, all the previous times you saw time, it was like they have to
1510300	1511300	be reasonably linear.
1511300	1515300	This time TGS does not have to be reasonably linear.
1515300	1518300	This has to be within like time.
1518300	1519300	Exactly.
1519300	1530300	So, if a printer server receives a ticket, a service ticket from some user, and the inside
1530300	1536300	when it decrypts the ticket, it's part of the ticket, it says time TGS 8 AM, but it's
1536300	1539300	now noon, that's okay.
1539300	1540300	That's okay.
1540300	1545300	Because the lifetime, right, as long as the lifetime is okay.
1545300	1555300	Because it just gives it time TGS plus the lifetime, that's when the ticket expires.
1555300	1556300	Okay.
1556300	1558300	So now, we're almost done.
1558300	1559300	All right?
1559300	1564300	So the server extracts, extracts, decrypts the pink ticket, extracts the information, and
1564300	1566300	then verifies off C. Why?
1566300	1573300	Because the same Kcb better be inside there that was computed with, off C was computed
1573300	1579300	with, checks the idea of decline, again, the rest of the time, fine, that time is better
1579300	1580300	be timed.
1580300	1587300	That off, right, that off C better include the time that's, like, near.
1587300	1588300	Synchronized.
1588300	1594300	Not perfectly synchronized, but somewhat synchronized.
1594300	1595300	Okay.
1595300	1597300	Last message.
1597300	1600300	Strictly speaking, it's an optional message.
1600300	1606300	You can configure curbers to just do one way authentication, like this, to client to
1606300	1607300	the server.
1607300	1611300	And the reason is you might want to send a print job to, let's say, to the printer, and
1611300	1613300	you don't care if you hear anything back.
1613300	1614300	Right?
1614300	1621300	So the client can just take that, what is that color, lilac, that first message in lilac,
1621300	1628300	and append a print job to it, like a PDF file, and say, here, let's print this one.
1628300	1631300	So that last message might not always be necessary.
1631300	1634300	But typically, I think, by default, it is.
1634300	1643300	So it's an encryption on the KCV of the time, time C is from client off C, right?
1643300	1645300	So it's kind of a challenge, right?
1645300	1647300	Time C functions as a challenge.
1647300	1652300	It proves to the client that the server received the previous message, right?
1652300	1655300	And, of course, he knows KCV.
1655300	1659300	Otherwise, nobody would compute that time C plus 1.
1659300	1664300	That is actually one of the vulnerabilities of this version of Curveverse.
1664300	1668300	But that's for another lecture.
1668300	1671300	Anyway, for now, let's consider this reasonably secure.
1671300	1672300	Right?
1672300	1673300	That's the idea.
1673300	1674300	Right?
1674300	1680300	So you have essentially, for a given user who starts out fresh, comes into work, or just
1680300	1684300	logs in for the first time, there are three exchanges.
1684300	1687300	One is to log in initially.
1687300	1692300	The next one is, every server you want to access, you have to get a ticket for that server.
1692300	1696300	And then the third is, you do a handshake exchange with that server.
1696300	1707300	Now, if the client has multiple jobs to print, let's say, the client gets the tickets for
1707300	1711300	printer server at 9am, and then it prints something.
1711300	1714300	And then at 10am, the client has something else to print.
1714300	1720300	As long as the lifetime of this ticket is valid, the client does not need to go back to the DGS.
1720300	1721300	Right?
1721300	1724300	It can reuse the same ticket.
1724300	1726300	And that's why we have the lifetime.
1726300	1728300	Okay?
1728300	1729300	Yes?
1729300	1731300	Clear?
1731300	1738300	So, let's just go through the reasoning.
1738300	1740300	For the last, I forgot to mention this.
1740300	1741300	Right?
1741300	1744300	So, the server, let's look at it from the client perspective.
